RINFID	行政区划编码	RINFORMATION	PNUMATT
11	520100	贵阳市籍小客车专段号牌、原段号牌、长期在本市行驶的外地号牌小型客车（已登记备案）实行“尾号限行”政策，工作日（周一至周五）7点至20点在贵阳市一环内（含一环）禁行。牌照尾号为1或6的车辆，限每周一； 牌照尾号为2或7的车辆，限每周二； 牌照尾号为3或8的车辆，限每周三；牌照尾号为4或9的车辆，限每周四；牌照尾号为5或0的车辆，限每周五。	3
12	520100	以贵A开头，以字母结尾的号牌的普通号牌，每日7:00至21:00禁止驶入贵阳市一环内（含一环）道路。	1
13	520100	长期在本市行驶的外地号牌小型客车（已登记备案）尾号为英文字母的，按“0”号管理，即星期五为停驶时间。	2
14	520100	外地车辆执行“开四停四”，指非贵阳市牌照（含临时牌照）9座以下载客汽车（未登记备案）实行驶入一环内（含一环）连续行驶时间最长不得超过4天（含4天，按自然天数计算），再次驶入须间隔4天以上。因特殊情况需超过4天行驶一环路(含一环路)以内道路的，持相关证明向贵阳市公安交通管理局申请办理临时通行证后通行，临时通行证有效期最长不超过2天。如遇国家法定节假日，不实施“开四停四”，节假日之后，“开四停四”清零重新计算。	2
15	220100	6时至20时，在人民广场、人民大街(新发路至卫星广场)、吉林大路(亚泰大街至东环城路)、自由大路(新民广场至东环城路)行驶的机动车按车牌尾号每月禁行三天，即车牌尾号与日期尾号相同的车辆，当日规定时段内不得驶入限行区域。如每月1日、11日和21日，车牌尾号为“1”的禁行；每月2日、12日和22日，车牌尾号为“2”的禁行，其余依此类推。车牌尾号为英文字母的按尾号为“4”管理，含临时号牌、外埠号牌，31日不做限制。	3
16	510100	所有“川A”及外地籍号牌号牌汽车,实行工作日(法定节假日除外)区域“尾号限行”政策。限行时间7:30-20:00，限行区域三环路（含）与二环路（含）之间区域内所有道路，含二环高架路面。限行车辆按照机动车号牌(含临时号牌)的最后一位阿拉伯数字分为五组，具体如下：星期一：1、6号限行；星期二：2、7号限行；星期三：3、8号限行；星期四：4、9号限行；星期五：5、0号限行；	3
17	360100	机动车在工作日（法定节假日除外）7时至21时实施尾号限行政策。限行区域为洪城路、抚河南路、施尧路的灌婴路口至三店西路口段、三店西路、井冈山大道的三店西路口至洪都南大道口段、洪都南大道、洪都中大道、洪都北大道、沿江北大道、沿江中大道围合的区域(含以上道路)和南昌大桥、八一大桥。对南昌市核发号牌尾数为英文字母的机动车（含机动车临时号牌和赣M号牌），按车牌最后一个阿拉伯数字实行。具体如下：星期一：1、6号限行；星期二：2、7号限行；星期三：3、8号限行；星期四：4、9号限行；星期五：5、0号限行；	1
18	360100	南昌大桥、八一大桥（不含南面匝道）每日7:00-9:30，16:30-20:30禁止外地号牌机动车通行。	2
19	360100	阳明路的象山路口至二经路口段、八一大道福州路口至中山路口段每日7:00-20:30禁止外地号牌机动车通行。	2
20	120000	自2015年1月11日至2016年4月9日，工作日(法定节假日除外)7时至19时，本市及外埠牌照机动车在外环线(不含)以内道路，继续实施车牌尾号区域限行交通管理措施。按车牌尾号区域限行的机动车号牌(含临时号牌)尾号分为5组，定期轮换限行日，分别为：(一)自2015年10月11日至2016年1月9日，星期一至星期五限行机动车号牌尾号分别为4和9、5和0、1和6、2和7、3和8；(二)自2016年1月10日至2016年4月10日，星期一至星期五限行机动车号牌尾号分别为3和8、4和9、5和0、1和6、2和7。                                                 (三)自2016年4月11日至2016年7月9日，星期一至星期五限行机动车车牌尾号分别为：2和7、3和8、4和9、5和0、1和6。                                             (四)自2016年7月10日至2016年10月9日，星期一至星期五限行机动车车牌尾号分别为：1和6、2和7、3和8、4和9、5和0。                                             (五)自2016年10月10日至2017年1月8日，星期一至星期五限行机动车车牌尾号分别为：5和0、1和6、2和7、3和8、4和9。	3
