id	city_code	area
11000000	110000	五环路以内道路(不含五环路)
11000001	110000	五环路以内道路(含五环路)
11000002	110000	二环路主路（全线）、长安街及延长线新兴桥（不含）至国贸桥（不含）之间路段、广场东侧路、广场西侧路、北池子大街、南池子大街、北河沿大街、南河沿大街、府右街、北长街、南长街、人大会堂西路、正义路、台基厂大街
11000003	110000	1．由天安门广场东侧路南口（不含）经广场东侧路至广场东侧路北口（不含）机动车道2．东长安街由广场西侧路北口（不含）至建国门桥机动车道3．东二环辅路由建国门桥经朝阳门桥至东四十条桥机动车道4．东二环辅路由东四十条桥经东直门桥至小街桥机动车道5．北二环辅路小街桥经雍和宫桥至安定门桥机动车道6．由安定门桥经安外大街至安贞桥机动车道7．由安贞桥经安定路至奥体东门路口机动车道8．由奥体东门路口经奥体中路至奥体西门路口机动车道9．由奥体西门路口经北辰路、北土城路口、北辰路至民族园路口机动车道10．国家体育场北路（湖景东路至天辰西路路段）机动车道
11000004	110000	房易路长沟中学路口至云居寺路后石门北口、长沟镇环湖路、东甘池村路、南甘池村路、西甘池村路、轩辕寺路、三座庵南路、京昆高速公路云居寺路出口（45）
11000005	110000	广场东侧路、广场西侧路、人大会堂西路（人民大会堂南侧路段）
11000006	110000	1．景山东街禁止机动车由北向南行驶;2．景山后街禁止机动车由西向东行驶;3．景山西街禁止机动车由南向北行驶
11000007	110000	京藏高速公路百葛桥六环路出口至营城子收费站出京方向
33010000	330100	留祥路—石祥路—石桥路—秋涛路—复兴路—老复兴路—虎跑路—满觉陇路—五老峰隧道—吉庆山隧道—梅灵北路—九里松隧道—灵溪南路—灵溪隧道—西溪路—紫金港路—文一西路—古墩路构成的围合区域内所有道路以及高架桥和隧道除虎跑路、满觉陇路、五老峰隧道、吉庆山隧道、梅灵北路、九里松隧道、灵溪南路、灵溪隧道、西溪路外，其他围合道路均不含
33010001	330100	西湖景区实行单双号限行，范围：北山街—环城西路—湖滨路—南山路—玉皇山路—玉皇山隧道—南复路—凤凰山路—虎跑路—之江路—梅灵南路—梅灵隧道—梅灵北路—天竺路—灵隐支路—灵溪隧道（北至马家坞路口）—灵溪南路—灵隐路—玉古路—玉泉路—灵隐路合围区域内的道路其中，北山街（保俶路——环城西路段）、环城西路、湖滨路、南山路（解放路——万松岭路段）、南复路、凤凰山路、虎跑路（之江路——凤凰山路段）、之江路、梅灵南路（小牙坞——之江路段）不在此限制范围内
